year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,4,1,Mac,O'Keefe,A,15,2025-ev-15
2025,4,1,Connor,Kelly,M,21,2025-ev-13
2025,4,2,Jeff,Teat,A,41,2025-ev-13
2025,4,2,Trevor,Baptiste,FO,35,2025-ev-13
2025,4,2,Scott,Smith,D,18,2025-ev-16
2025,4,2,Blaze,Riorden,G,48,2025-ev-16
2025,4,2,Mac,O'Keefe,A,15,2025-ev-15
2025,4,2,Zach,Currier,M,19,2025-ev-13
2025,4,2,Ross,Scott,M,19,2025-ev-16
2025,4,3,Jeff,Teat,A,41,2025-ev-13
2025,4,3,Trevor,Baptiste,FO,35,2025-ev-13
2025,4,3,Scott,Smith,D,18,2025-ev-16
2025,4,3,Logan,McNaney,G,36,2025-ev-15
2025,4,3,Mac,O'Keefe,A,15,2025-ev-15
2025,4,3,Zach,Currier,M,19,2025-ev-13
2025,4,3,Tom,Schreiber,M,32,2025-ev-15
2025,4,4,Jeff,Teat,A,41,2025-ev-13
2025,4,4,Trevor,Baptiste,FO,35,2025-ev-13
2025,4,4,Scott,Smith,D,18,2025-ev-16
2025,4,4,Blaze,Riorden,G,48,2025-ev-16
2025,4,4,Mac,O'Keefe,A,15,2025-ev-15
2025,4,4,Zach,Currier,M,19,2025-ev-13
2025,4,4,Graham,Bundy,M,20,2025-ev-15
2025,4,5,Jeff,Teat,A,41,2025-ev-13
2025,4,5,Trevor,Baptiste,FO,35,2025-ev-13
2025,4,5,Scott,Smith,D,18,2025-ev-16
2025,4,5,Brett,Dobson,G,44,2025-ev-15
2025,4,5,Mac,O'Keefe,A,15,2025-ev-15
2025,4,5,Zach,Currier,M,19,2025-ev-13
2025,4,5,Ross,Scott,M,19,2025-ev-16
2025,5,1,Dylan,Molloy,A,46,2025-ev-17
2025,5,1,Chris,Kavanagh,A,42,2025-ev-17
2025,5,1,Logan,McNaney,G,41,2025-ev-17
2025,5,1,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,1,Zach,Currier,M,19,2025-ev-19
2025,5,1,Mason,Woodward,D,9,2025-ev-18
2025,5,1,Justin,Anderson,M,6,2025-ev-17
2025,5,2,Dylan,Molloy,A,46,2025-ev-17
2025,5,2,Chris,Kavanagh,A,42,2025-ev-17
2025,5,2,Andrew,McAdorey,M,37,2025-ev-17
2025,5,2,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,2,Zach,Currier,M,19,2025-ev-19
2025,5,2,Colin,Kirst,G,17,2025-ev-20
2025,5,2,Bryce,Young,D,6,2025-ev-20
2025,5,3,Dylan,Molloy,A,46,2025-ev-17
2025,5,3,Chris,Kavanagh,A,42,2025-ev-17
2025,5,3,Andrew,McAdorey,M,37,2025-ev-17
2025,5,3,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,3,Zach,Currier,M,19,2025-ev-19
2025,5,3,Dillon,Ward,G,17,2025-ev-19
2025,5,3,Bryce,Young,D,6,2025-ev-20
2025,5,4,Dylan,Molloy,A,46,2025-ev-17
2025,5,4,Chris,Kavanagh,A,42,2025-ev-17
2025,5,4,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,4,Kenny,Brower,D,23,2025-ev-19
2025,5,4,Zach,Currier,M,19,2025-ev-19
2025,5,4,Jared,Bernhardt,M,15,2025-ev-17
2025,5,4,Colin,Kirst,G,17,2025-ev-20
2025,5,5,Dylan,Molloy,A,46,2025-ev-17
2025,5,5,Chris,Kavanagh,A,42,2025-ev-17
2025,5,5,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,5,Kenny,Brower,D,23,2025-ev-19
2025,5,5,Zach,Currier,M,19,2025-ev-19
2025,5,5,Jared,Bernhardt,M,15,2025-ev-17
2025,5,5,Dillon,Ward,G,17,2025-ev-19
2025,7,1,Logan,McNaney,G,42,2025-ev-26
2025,7,1,Jeff,Teat,A,41,2025-ev-23
2025,7,1,Connor,Shellenberger,A,42,2025-ev-23
2025,7,1,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,1,Zach,Currier,M,16,2025-ev-24
2025,7,1,Scott,Smith,D,8,2025-ev-25
2025,7,1,Tre,Leclaire,M,10,2025-ev-24
2025,7,2,Connor,Shellenberger,A,42,2025-ev-23
2025,7,2,Jeff,Teat,A,41,2025-ev-23
2025,7,2,Logan,McNaney,G,42,2025-ev-26
2025,7,2,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,2,Scott,Smith,D,8,2025-ev-25
2025,7,2,Zach,Currier,M,16,2025-ev-24
2025,7,2,Jared,Bernhardt,M,15,2025-ev-26
2025,7,3,Connor,Shellenberger,A,42,2025-ev-23
2025,7,3,Jeff,Teat,A,41,2025-ev-23
2025,7,3,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,3,Emmet,Carroll,G,40,2025-ev-26
2025,7,3,Scott,Smith,D,8,2025-ev-25
2025,7,3,Zach,Currier,M,16,2025-ev-24
2025,7,3,Jared,Bernhardt,M,15,2025-ev-26
2025,7,4,Connor,Shellenberger,A,42,2025-ev-23
2025,7,4,Jeff,Teat,A,41,2025-ev-23
2025,7,4,Logan,McNaney,G,42,2025-ev-26
2025,7,4,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,4,Scott,Smith,D,8,2025-ev-25
2025,7,4,Tom,Schreiber,M,22,2025-ev-24
2025,7,4,Tre,Leclaire,M,10,2025-ev-24
2025,7,5,Connor,Shellenberger,A,42,2025-ev-23
2025,7,5,Jeff,Teat,A,41,2025-ev-23
2025,7,5,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,5,Brett,Dobson,G,41,2025-ev-24
2025,7,5,Scott,Smith,D,8,2025-ev-25
2025,7,5,Zach,Currier,M,16,2025-ev-24
2025,7,5,Jared,Bernhardt,M,15,2025-ev-26
2025,8,1,Emmet,Carroll,G,40,2025-ev-30
2025,8,1,Jeff,Teat,A,42,2025-ev-27
2025,8,1,TJ,Malone,A,41,2025-ev-30
2025,8,1,Trevor,Baptiste,FO,30,2025-ev-27
2025,8,1,Andrew,McAdorey,M,36,2025-ev-27
2025,8,1,Jonathan,Donville,M,2,2025-ev-29
2025,8,1,Scott,Smith,D,7,2025-ev-28
2025,8,2,Jeff,Teat,A,42,2025-ev-27
2025,8,2,Emmet,Carroll,G,40,2025-ev-30
2025,8,2,Andrew,McAdorey,M,36,2025-ev-27
2025,8,2,Marcus,Holman,A,31,2025-ev-29
2025,8,2,Justin,Inacio,FO,25,2025-ev-28
2025,8,2,Marcus,Hudgins,D,23,2025-ev-30
2025,8,2,Cole,Kirst,M,2,2025-ev-27
2025,8,3,Jeff,Teat,A,42,2025-ev-27
2025,8,3,Emmet,Carroll,G,40,2025-ev-30
2025,8,3,Andrew,McAdorey,M,36,2025-ev-27
2025,8,3,Connor,Shellenberger,A,45,2025-ev-27
2025,8,3,Justin,Inacio,FO,25,2025-ev-28
2025,8,3,Cole,Kirst,M,2,2025-ev-27
2025,8,3,Scott,Smith,D,7,2025-ev-28
2025,8,4,Jeff,Teat,A,42,2025-ev-27
2025,8,4,Emmet,Carroll,G,40,2025-ev-30
2025,8,4,Andrew,McAdorey,M,36,2025-ev-27
2025,8,4,Asher,Nolting,A,36,2025-ev-29
2025,8,4,Justin,Inacio,FO,25,2025-ev-28
2025,8,4,Cole,Kirst,M,2,2025-ev-27
2025,8,4,Ben,Wayer,D,18,2025-ev-30
2025,8,5,Jeff,Teat,A,42,2025-ev-27
2025,8,5,Emmet,Carroll,G,40,2025-ev-30
2025,8,5,Andrew,McAdorey,M,36,2025-ev-27
2025,8,5,Asher,Nolting,A,36,2025-ev-29
2025,8,5,Trevor,Baptiste,FO,30,2025-ev-27
2025,8,5,Cole,Kirst,M,2,2025-ev-27
2025,8,5,Scott,Smith,D,7,2025-ev-28
2025,9,1,Jeff,Teat,A,44,2025-ev-32
2025,9,1,Emmet,Carroll,G,40,2025-ev-32
2025,9,1,TJ,Malone,A,42,2025-ev-32
2025,9,1,Tom,Schreiber,M,22,2025-ev-31
2025,9,1,Greg,Weyl,D,2,2025-ev-34
2025,9,1,Zach,Currier,M,19,2025-ev-33
2025,9,1,TD,Ierlan,FO,29,2025-ev-31
2025,9,2,Jeff,Teat,A,44,2025-ev-32
2025,9,2,Owen,Hiltz,A,37,2025-ev-33
2025,9,2,Emmet,Carroll,G,40,2025-ev-32
2025,9,2,Andrew,McAdorey,M,33,2025-ev-31
2025,9,2,Tom,Schreiber,M,22,2025-ev-31
2025,9,2,Greg,Weyl,D,2,2025-ev-34
2025,9,2,Luke,Wierman,FO,19,2025-ev-34
2025,9,3,Jeff,Teat,A,44,2025-ev-32
2025,9,3,Owen,Hiltz,A,37,2025-ev-33
2025,9,3,Andrew,McAdorey,M,33,2025-ev-31
2025,9,3,Brett,Dobson,G,40,2025-ev-31
2025,9,3,Tom,Schreiber,M,22,2025-ev-31
2025,9,3,Greg,Weyl,D,2,2025-ev-34
2025,9,3,Luke,Wierman,FO,19,2025-ev-34
2025,9,4,Jeff,Teat,A,44,2025-ev-32
2025,9,4,Owen,Hiltz,A,37,2025-ev-33
2025,9,4,Emmet,Carroll,G,40,2025-ev-32
2025,9,4,Andrew,McAdorey,M,33,2025-ev-31
2025,9,4,Greg,Weyl,D,2,2025-ev-34
2025,9,4,TD,Ierlan,FO,29,2025-ev-31
2025,9,4,Jared,Bernhardt,M,15,2025-ev-34
2025,9,5,Jeff,Teat,A,44,2025-ev-32
2025,9,5,Owen,Hiltz,A,37,2025-ev-33
2025,9,5,Emmet,Carroll,G,40,2025-ev-32
2025,9,5,Andrew,McAdorey,M,33,2025-ev-31
2025,9,5,Tom,Schreiber,M,22,2025-ev-31
2025,9,5,Greg,Weyl,D,2,2025-ev-34
2025,9,5,Joseph,Nardella,FO,22,2025-ev-32
2025,10,1,Chris,Kavanagh,A,36,2025-ev-37
2025,10,1,Jeff,Teat,A,47,2025-ev-38
2025,10,1,Zach,Currier,M,18,2025-ev-36
2025,10,1,Andrew,McAdorey,M,28,2025-ev-37
2025,10,1,Greg,Weyl,D,3,2025-ev-35
2025,10,1,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,1,Emmet,Carroll,G,38,2025-ev-37
2025,10,2,Jeff,Teat,A,47,2025-ev-38
2025,10,2,Owen,Hiltz,A,46,2025-ev-35
2025,10,2,Andrew,McAdorey,M,28,2025-ev-37
2025,10,2,Emmet,Carroll,G,38,2025-ev-37
2025,10,2,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,2,Greg,Weyl,D,3,2025-ev-35
2025,10,2,Graham,Bundy,M,14,2025-ev-35
2025,10,3,Jeff,Teat,A,47,2025-ev-38
2025,10,3,Owen,Hiltz,A,46,2025-ev-35
2025,10,3,Andrew,McAdorey,M,28,2025-ev-37
2025,10,3,Logan,McNaney,G,41,2025-ev-38
2025,10,3,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,3,Greg,Weyl,D,3,2025-ev-35
2025,10,3,Jonathan,Donville,M,8,2025-ev-35
2025,10,4,Jeff,Teat,A,47,2025-ev-38
2025,10,4,Owen,Hiltz,A,46,2025-ev-35
2025,10,4,Andrew,McAdorey,M,28,2025-ev-37
2025,10,4,Emmet,Carroll,G,38,2025-ev-37
2025,10,4,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,4,Greg,Weyl,D,3,2025-ev-35
2025,10,4,Jonathan,Donville,M,8,2025-ev-35
2025,10,5,Jeff,Teat,A,47,2025-ev-38
2025,10,5,Owen,Hiltz,A,46,2025-ev-35
2025,10,5,Andrew,McAdorey,M,28,2025-ev-37
2025,10,5,Logan,McNaney,G,41,2025-ev-38
2025,10,5,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,5,Greg,Weyl,D,3,2025-ev-35
2025,10,5,Charlie,Bertrand,M,11,2025-ev-37
2025,11,1,Jeff,Teat,A,45,2025-ev-41
2025,11,1,Owen,Hiltz,A,48,2025-ev-40
2025,11,1,Colin,Kirst,G,7,2025-ev-42
2025,11,1,Trevor,Baptiste,FO,23,2025-ev-41
2025,11,1,Andrew,McAdorey,M,29,2025-ev-39
2025,11,1,Zach,Currier,M,16,2025-ev-41
2025,11,1,Garrett,Epple,D,18,2025-ev-39
2025,11,2,Jeff,Teat,A,45,2025-ev-41
2025,11,2,Owen,Hiltz,A,48,2025-ev-40
2025,11,2,Andrew,McAdorey,M,29,2025-ev-39
2025,11,2,Colin,Kirst,G,7,2025-ev-42
2025,11,2,Trevor,Baptiste,FO,23,2025-ev-41
2025,11,2,Matt,Brandau,M,28,2025-ev-42
2025,11,2,Garrett,Epple,D,18,2025-ev-39
