year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,3,3,Jeff,Teat,ATL,WHP,A,49,0.852,4.0
2025,3,3,TJ,Malone,WHP,ATL,A,47,0.8648,52.0
2025,3,3,Dillon,Ward,WAT,CAN,G,22,0.7148,15.0
2025,3,3,Trevor,Baptiste,ATL,WHP,FO,37,0.5529,20.2
2025,3,3,Zach,Currier,WAT,OUT,M,27,0.5835,-3.0
2025,3,3,Kenny,Brower,WAT,OUT,D,11,0.4051,11.0
2025,3,3,Jack,VanOverbeke,OUT,WAT,M,7,0.2048,0.0
2025,3,4,Chris,Kavanagh,RED,ARC,A,41,0.7109,13.0
2025,3,4,Andrew,McAdorey,RED,ARC,M,40,0.6344,-0.7
2025,3,4,Dillon,Ward,WAT,CAN,G,22,0.7148,15.0
2025,3,4,Trevor,Baptiste,ATL,WHP,FO,37,0.5529,20.2
2025,3,4,Zach,Currier,WAT,OUT,M,27,0.5835,-3.0
2025,3,4,Rob,Pannell,WHP,ATL,A,21,0.5526,32.0
2025,3,4,Kenny,Brower,WAT,OUT,D,11,0.4051,11.0
2025,3,5,Michael,Sowers,WAT,CAN,A,50,0.821,22.0
2025,3,5,Dillon,Ward,WAT,CAN,G,22,0.7148,15.0
2025,3,5,Trevor,Baptiste,ATL,WHP,FO,37,0.5529,20.2
2025,3,5,Tom,Schreiber,ARC,RED,M,32,0.5217,42.0
2025,3,5,Zach,Currier,WAT,OUT,M,27,0.5835,-3.0
2025,3,5,Rob,Pannell,WHP,ATL,A,21,0.5526,32.0
2025,3,5,Kenny,Brower,WAT,OUT,D,11,0.4051,11.0
2025,4,1,Trevor,Baptiste,ATL,WAT,FO,35,0.7598,12.4
2025,4,1,TJ,Malone,WHP,CHA,A,46,0.8802,7.0
2025,4,1,Colin,Kirst,CAN,WHP,G,20,0.765,37.0
2025,4,1,Scott,Smith,CHA,WHP,D,18,0.5621,11.0
2025,4,1,Tom,Schreiber,ARC,OUT,M,32,0.5457,27.0
2025,4,1,Rob,Pannell,WHP,CHA,A,23,0.6026,47.0
