year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_p90,actualPoints
2025,3,2,Chris,Kavanagh,RED,ARC,A,41,84.85904367623495,13.0
2025,3,2,Andrew,McAdorey,RED,ARC,M,40,104.84576009852464,-0.7
2025,3,2,Dillon,Ward,WAT,CAN,G,22,50.89945537771098,15.0
2025,3,2,Ben,Ramsey,CAN,WAT,D,27,72.989485060513,1.0
2025,3,2,Sam,Handley,RED,ARC,M,12,35.571633932627634,30.0
2025,3,2,Mike,Sisselberger,ARC,RED,FO,9,16.894116503551935,26.0
2025,3,3,Chris,Kavanagh,RED,ARC,A,41,84.85904367623495,13.0
2025,3,3,Dylan,Molloy,RED,ARC,A,39,82.23981658185845,39.0
2025,3,3,Andrew,McAdorey,RED,ARC,M,40,104.84576009852464,-0.7
2025,3,3,Dillon,Ward,WAT,CAN,G,22,50.89945537771098,15.0
2025,3,3,Ben,Ramsey,CAN,WAT,D,27,72.989485060513,1.0
2025,3,3,Grant,Ament,ARC,RED,M,20,36.3197010636456,7.0
2025,3,3,Mike,Sisselberger,ARC,RED,FO,9,16.894116503551935,26.0
2025,3,4,Chris,Kavanagh,RED,ARC,A,41,84.85904367623495,13.0
2025,3,4,Dylan,Molloy,RED,ARC,A,39,82.23981658185845,39.0
2025,3,4,Andrew,McAdorey,RED,ARC,M,40,104.84576009852464,-0.7
2025,3,4,Ben,Ramsey,CAN,WAT,D,27,72.989485060513,1.0
2025,3,4,Zach,Currier,WAT,OUT,M,27,50.91633360065123,-3.0
2025,3,4,Brendan,Krebs,WHP,ATL,G,13,36.01541856763242,26.0
2025,3,4,Mike,Sisselberger,ARC,RED,FO,9,16.894116503551935,26.0
2025,3,5,Chris,Kavanagh,RED,ARC,A,41,84.85904367623495,13.0
2025,3,5,Dylan,Molloy,RED,ARC,A,39,82.23981658185845,39.0
2025,3,5,Andrew,McAdorey,RED,ARC,M,40,104.84576009852464,-0.7
2025,3,5,Dillon,Ward,WAT,CAN,G,22,50.89945537771098,15.0
2025,3,5,Ben,Ramsey,CAN,WAT,D,27,72.989485060513,1.0
2025,3,5,Josh,Balcarcel,RED,ARC,M,19,35.96120089832415,8.0
2025,3,5,Mike,Sisselberger,ARC,RED,FO,9,16.894116503551935,26.0
2025,4,1,Logan,McNaney,OUT,ARC,G,36,70.40323149968633,41.0
2025,4,1,Trevor,Baptiste,ATL,WAT,FO,35,77.33585578402305,12.4
2025,4,1,Jeff,Teat,ATL,WAT,A,41,74.41699591795764,93.0
2025,4,1,Scott,Smith,CHA,WHP,D,18,71.40667742477221,11.0
2025,4,1,Tom,Schreiber,ARC,OUT,M,32,54.64265002462429,27.0
2025,4,1,Zach,Currier,WAT,ATL,M,19,47.81705806937347,29.0
2025,4,1,Mac,O'Keefe,ARC,OUT,A,15,57.17376475553625,22.0
