year,week,firstName,lastName,position,salary,eventId
2025,11,Colin,Kirst,G,36,2025-ev-39
2025,11,Aidan,Danenza,M,5,2025-ev-39
2025,11,Matt,Traynor,M,23,2025-ev-41
2025,11,Owen,Grant,D,16,2025-ev-42
2025,11,TD,Ierlan,FO,24,2025-ev-39
2025,12,Michael,Sowers,A,48,2025_quarterfinal_1
2025,12,Rob,Pannell,A,28,2025_quarterfinal_1
2025,12,Matt,Brandau,M,21,2025_quarterfinal_1
2025,12,Charlie,Bertrand,M,15,2025_quarterfinal_2
2025,12,Ajax,Zappitello,D,27,2025_quarterfinal_1
2025,12,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,12,Emmet,Carroll,G,31,2025_quarterfinal_1
2025,13,CJ,Kirst,A,6,2025_semifinal_2
2025,13,Logan,Wisnauskas,A,24,2025_semifinal_1
2025,13,Reid,Bowering,M,17,2025_semifinal_2
2025,13,Bryan,Costabile,M,28,2025_semifinal_2
2025,13,Michael,Rexrode,D,10,2025_semifinal_2
2025,13,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,Logan,McNaney,G,39,2025_semifinal_1
2025,14,Liam,Entenmann,G,43,2025_championship_game
2025,14,Logan,Wisnauskas,A,24,2025_championship_game
2025,14,Jeff,Teat,A,46,2025_championship_game
2025,14,Michael,Manley,D,17,2025_championship_game
2025,14,Jonathan,Donville,M,10,2025_championship_game
2025,14,Jared,Bernhardt,M,16,2025_championship_game
2025,14,Luke,Wierman,FO,18,2025_championship_game
2026,1,Michael,Sowers,A,50,2026-ev-4
2026,1,Sam,King,A,24,2026-ev-3
2026,1,Emmet,Carroll,G,44,2026-ev-4
2026,1,Brad,Smith,M,15,2026-ev-4
2026,1,Petey,LaSalla,FO,8,2026-ev-4
2026,1,Jack,Hannah,M,11,2026-ev-4
2026,1,Marcus,Hudgins,D,15,2026-ev-4
2026,2,Michael,Sowers,A,50,2026-ev-8
2026,2,Brennan,O'Neill,A,40,2026-ev-7
2026,2,Colin,Kirst,G,36,2026-ev-8
2026,2,Justin,Anderson,M,11,2026-ev-7
2026,2,Justin,Inacio,FO,18,2026-ev-5
2026,2,Graham,Bundy,M,8,2026-ev-7
2026,2,Ray,Dearth,D,9,2026-ev-5
2026,3,Kieran,McArdle,A,30,2026-ev-12
2026,3,Connor,Shellenberger,A,42,2026-ev-10
2026,3,Logan,McNaney,G,40,2026-ev-10
2026,3,Reid,Bowering,M,22,2026-ev-10
2026,3,Mic,Kelly,M,10,2026-ev-9
2026,3,Ben,Randall,D,15,2026-ev-10
2026,3,Trevor,Baptiste,FO,26,2026-ev-10
2026,4,Connor,Shellenberger,A,36,2026-ev-14
2026,4,Jackson,Eicher,A,28,2026-ev-15
2026,4,Owen,McElroy,G,5,2026-ev-15
2026,4,Ross,Scott,M,23,2026-ev-15
2026,4,Justin,Inacio,FO,20,2026-ev-13
2026,4,Zach,Currier,M,20,2026-ev-16
2026,4,Jack,Kielty,D,13,2026-ev-16
2026,5,Michael,Boehm,A,36,2026-ev-18
2026,5,Liam,Entenmann,G,50,2026-ev-19
2026,5,Marcus,Holman,A,36,2026-ev-17
2026,5,Leo,Johnson,M,5,2026-ev-18
2026,5,Aidan,Carroll,M,41,2026-ev-19
2026,5,Brendan,Lavelle,D,13,2026-ev-18
2026,5,Nathan,Laliberte,FO,5,2026-ev-17
